k8,k16,b4,e11,l1,b5,b2b,d2,j2,survey_year,firm_age,log_size,log_sales,survey_year_cat,target_formal_credit,target_applied_credit,k82a,k162a,k162b
no,no,no,yes,7.0,1970.0,0.0,150000.0,0.0,2013,43.0,2.0794415416798357,11.918397239722838,2013,0.0,0.0,,,
no,no,no,yes,3.0,1980.0,0.0,120000.0,0.0,2013,33.0,1.3862943611198906,11.695255355062795,2013,0.0,0.0,,,
no,no,,no,11.0,1988.0,0.0,300000.0,10.0,2013,25.0,2.4849066497880004,12.611541086966115,2013,0.0,0.0,,,
no,no,,no,35.0,1996.0,0.0,200000.0,0.0,2013,17.0,3.58351893845611,12.206077645517674,2013,0.0,0.0,,,
no,no,no,no,6.0,1984.0,0.0,60000.0,0.0,2013,29.0,1.9459101490553132,11.002116507732017,2013,0.0,0.0,,,
no,no,no,no,15.0,1972.0,0.0,70000.0,0.0,2013,41.0,2.772588722239781,11.156264806643742,2013,0.0,0.0,,,
no,no,no,no,14.0,1975.0,0.0,200000.0,0.0,2013,38.0,2.70805020110221,12.206077645517674,2013,0.0,0.0,,,
no,no,no,yes,9.0,1969.0,0.0,24000.0,0.0,2013,44.0,2.302585092994046,10.085850775128717,2013,0.0,0.0,,,
no,no,,yes,10.0,1986.0,0.0,240000.0,0.0,2013,27.0,2.3978952727983707,12.388398368982115,2013,0.0,0.0,,,
no,,no,no,5.0,1990.0,0.0,,0.0,2013,23.0,1.791759469228055,,2013,0.0,,,,
no,no,,no,15.0,1995.0,0.0,10000000.0,0.0,2013,18.0,2.772588722239781,16.118095750958314,2013,0.0,0.0,,,
no,no,no,no,5.0,1993.0,0.0,350000.0,25.0,2013,20.0,1.791759469228055,12.765691290604371,2013,0.0,0.0,,,
no,no,no,yes,11.0,2001.0,0.0,400000.0,10.0,2013,12.0,2.4849066497880004,12.899222326086994,2013,0.0,0.0,,,
no,no,no,no,8.0,1990.0,0.0,,0.0,2013,23.0,2.1972245773362196,,2013,0.0,0.0,,,
,no,,yes,30.0,2008.0,0.0,,0.0,2013,5.0,3.4339872044851463,,2013,,0.0,,,
no,no,no,no,9.0,1987.0,0.0,800000.0,0.0,2013,26.0,2.302585092994046,13.592368256649284,2013,0.0,0.0,,,
no,no,no,yes,12.0,1990.0,0.0,2000000.0,0.0,2013,23.0,2.5649493574615367,14.508658238524095,2013,0.0,0.0,,,
no,no,yes,no,17.0,1973.0,0.0,100000.0,0.0,2013,40.0,2.8903717578961645,11.51293546492023,2013,0.0,0.0,,,
no,no,no,yes,11.0,1968.0,0.0,800000.0,0.0,2013,45.0,2.4849066497880004,13.592368256649284,2013,0.0,0.0,,,
,no,no,yes,6.0,1964.0,0.0,,0.0,2013,49.0,1.9459101490553132,,2013,,0.0,,,
no,no,no,no,13.0,1985.0,0.0,,0.0,2013,28.0,2.6390573296152584,,2013,0.0,0.0,,,
no,no,no,yes,12.0,1983.0,0.0,250000.0,0.0,2013,30.0,2.5649493574615367,12.429220196836383,2013,0.0,0.0,,,
no,no,no,no,6.0,1999.0,0.0,500000.0,20.0,2013,14.0,1.9459101490553132,13.122365377402328,2013,0.0,0.0,,,
yes,no,,no,65.0,1979.0,0.0,600000.0,0.0,2013,34.0,4.189654742026425,13.304686600863562,2013,1.0,0.0,,,
no,no,no,yes,20.0,1940.0,0.0,250000.0,0.0,2013,73.0,3.044522437723423,12.429220196836383,2013,0.0,0.0,,,
no,no,no,no,9.0,1971.0,0.0,150000.0,0.0,2013,42.0,2.302585092994046,11.918397239722838,2013,0.0,0.0,,,
no,no,no,yes,30.0,1947.0,0.0,300000.0,0.0,2013,66.0,3.4339872044851463,12.611541086966115,2013,0.0,0.0,,,
no,no,no,no,5.0,1940.0,0.0,100000.0,0.0,2013,73.0,1.791759469228055,11.51293546492023,2013,0.0,0.0,,,
no,no,,yes,10.0,1977.0,0.0,300000.0,0.0,2013,36.0,2.3978952727983707,12.611541086966115,2013,0.0,0.0,,,
no,no,no,no,6.0,1990.0,0.0,100000.0,0.0,2013,23.0,1.9459101490553132,11.51293546492023,2013,0.0,0.0,,,
no,no,no,yes,5.0,1965.0,0.0,100000.0,0.0,2013,48.0,1.791759469228055,11.51293546492023,2013,0.0,0.0,,,
no,no,no,no,11.0,1998.0,0.0,150000.0,,2013,15.0,2.4849066497880004,11.918397239722838,2013,0.0,0.0,,,
no,no,no,no,6.0,1997.0,0.0,500000.0,0.0,2013,16.0,1.9459101490553132,13.122365377402328,2013,0.0,0.0,,,
no,no,no,no,17.0,1998.0,0.0,800000.0,,2013,15.0,2.8903717578961645,13.592368256649284,2013,0.0,0.0,,,
no,no,no,yes,19.0,1971.0,0.0,1000000.0,0.0,2013,42.0,2.995732273553991,13.815511557963774,2013,0.0,0.0,,,
no,no,no,yes,10.0,1983.0,0.0,250000.0,0.0,2013,30.0,2.3978952727983707,12.429220196836383,2013,0.0,0.0,,,
no,no,no,yes,8.0,1959.0,0.0,300000.0,0.0,2013,54.0,2.1972245773362196,12.611541086966115,2013,0.0,0.0,,,
no,no,,yes,15.0,1980.0,0.0,650000.0,0.0,2013,33.0,2.772588722239781,13.384729180332174,2013,0.0,0.0,,,
no,no,no,yes,5.0,1995.0,0.0,700000.0,0.0,2013,18.0,1.791759469228055,13.45883704259595,2013,0.0,0.0,,,
no,,no,no,6.0,2011.0,0.0,,0.0,2013,2.0,1.9459101490553132,,2013,0.0,,,,
no,no,no,yes,20.0,1972.0,0.0,450000.0,0.0,2013,41.0,3.044522437723423,13.017005083966255,2013,0.0,0.0,,,
no,no,no,yes,10.0,1983.0,0.0,500000.0,0.0,2013,30.0,2.3978952727983707,13.122365377402328,2013,0.0,0.0,,,
no,no,no,yes,6.0,1995.0,0.0,300000.0,0.0,2013,18.0,1.9459101490553132,12.611541086966115,2013,0.0,0.0,,,
no,no,no,yes,12.0,1990.0,0.0,,0.0,2013,23.0,2.5649493574615367,,2013,0.0,0.0,,,
no,no,no,no,10.0,,0.0,,0.0,2013,,2.3978952727983707,,2013,0.0,0.0,,,
no,no,no,yes,20.0,2000.0,0.0,1000000.0,,2013,13.0,3.044522437723423,13.815511557963774,2013,0.0,0.0,,,
yes,yes,no,no,5.0,1992.0,0.0,15000.0,0.0,2013,21.0,1.791759469228055,9.61587214452889,2013,1.0,1.0,,,
no,no,,yes,20.0,1968.0,0.0,200000.0,25.0,2013,45.0,3.044522437723423,12.206077645517674,2013,0.0,0.0,,,
no,no,yes,,64.0,1989.0,0.0,2000000.0,0.0,2013,24.0,4.174387269895637,14.508658238524095,2013,0.0,0.0,,,
no,no,,yes,50.0,1985.0,0.0,,50.0,2013,28.0,3.9318256327243257,,2013,0.0,0.0,,,
no,no,no,yes,10.0,1979.0,0.0,180000.0,0.0,2013,34.0,2.3978952727983707,12.100717685412471,2013,0.0,0.0,,,
no,no,no,yes,5.0,1995.0,0.0,36000.0,0.0,2013,18.0,1.791759469228055,10.491301994830229,2013,0.0,0.0,,,
no,no,no,yes,8.0,2011.0,0.0,40000.0,0.0,2013,2.0,2.1972245773362196,10.596659732783579,2013,0.0,0.0,,,
no,no,no,yes,5.0,1973.0,0.0,7500000.0,10.0,2013,40.0,1.791759469228055,15.830413711839864,2013,0.0,0.0,,,
no,no,no,yes,8.0,1994.0,0.0,400000.0,0.0,2013,19.0,2.1972245773362196,12.899222326086994,2013,0.0,0.0,,,
no,no,no,yes,8.0,1961.0,0.0,300000.0,0.0,2013,52.0,2.1972245773362196,12.611541086966115,2013,0.0,0.0,,,
no,no,no,,5.0,1974.0,0.0,240000.0,0.0,2013,39.0,1.791759469228055,12.388398368982115,2013,0.0,0.0,,,
no,no,no,yes,8.0,1962.0,0.0,180000.0,0.0,2013,51.0,2.1972245773362196,12.100717685412471,2013,0.0,0.0,,,
no,yes,no,yes,9.0,1985.0,0.0,600000.0,0.0,2013,28.0,2.302585092994046,13.304686600863562,2013,0.0,1.0,,,
no,no,no,no,70.0,1992.0,0.0,25000000.0,0.0,2013,21.0,4.2626798770413155,17.034386422832473,2013,0.0,0.0,,,
yes,no,,yes,6.0,1998.0,0.0,200000.0,0.0,2013,15.0,1.9459101490553132,12.206077645517674,2013,1.0,0.0,,,
no,no,no,no,65.0,2000.0,0.0,9000000.0,0.0,2013,13.0,4.189654742026425,16.012735246411598,2013,0.0,0.0,,,
no,no,no,yes,20.0,2005.0,0.0,25000000.0,0.0,2013,8.0,3.044522437723423,17.034386422832473,2013,0.0,0.0,,,
no,no,no,yes,35.0,1990.0,0.0,13000000.0,0.0,2013,23.0,3.58351893845611,16.380459992348886,2013,0.0,0.0,,,
no,no,,yes,70.0,1998.0,0.0,5000000.0,0.0,2013,15.0,4.2626798770413155,15.424948670398354,2013,0.0,0.0,,,
no,no,no,no,11.0,1998.0,0.0,700000.0,0.0,2013,15.0,2.4849066497880004,13.45883704259595,2013,0.0,0.0,,,
no,no,no,yes,9.0,2011.0,0.0,35000.0,0.0,2013,2.0,2.302585092994046,10.463131911491967,2013,0.0,0.0,,,
no,no,no,yes,13.0,2002.0,0.0,2000000.0,0.0,2013,11.0,2.6390573296152584,14.508658238524095,2013,0.0,0.0,,,
no,no,no,no,10.0,2010.0,0.0,4800000.0,0.0,2013,3.0,2.3978952727983707,15.38412668421143,2013,0.0,0.0,,,
no,no,no,no,20.0,1997.0,0.0,12000000.0,0.0,2013,16.0,3.044522437723423,16.300417291085605,2013,0.0,0.0,,,
no,no,no,no,22.0,1983.0,0.0,1500000.0,0.0,2013,30.0,3.1354942159291497,14.220976332738882,2013,0.0,0.0,,,
