Target,model,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy
Severe financing obstacle,Stacked meta-logit,0.5532914555662056,0.2439241532001435,0.0168067226890756,0.0091743119266055,0.1,0.7710371819960861
Severe financing obstacle,Rich logistic + recency,0.5515398922817107,0.2457847111523481,0.0,0.0,0.0,0.7837573385518591
Severe financing obstacle,Rich logistic,0.5507981879592861,0.2435831334350869,0.0088495575221238,0.0045871559633027,0.125,0.7808219178082192
Severe financing obstacle,Core logistic,0.5487128577297,0.2425977014786621,0.0088495575221238,0.0045871559633027,0.125,0.7808219178082192
Severe financing obstacle,Core threshold,0.5459685517367292,0.2387366437417213,0.0088495575221238,0.0045871559633027,0.125,0.7808219178082192
Severe financing obstacle,Rich XGBoost + recency,0.4895048838376922,0.2084274402697258,0.3555941023417172,0.9403669724770642,0.2192513368983957,0.2729941291585127
Formal credit access,Rich logistic + recency,0.672112167342507,0.1602137949064754,0.1928934010152284,0.1938775510204081,0.1919191919191919,0.8439646712463199
Formal credit access,Core logistic,0.6705222805734672,0.1619353529878015,0.1865284974093264,0.1836734693877551,0.1894736842105263,0.845927379784102
Formal credit access,Rich logistic,0.6700846462363447,0.1601744004176173,0.1808510638297872,0.173469387755102,0.1888888888888888,0.8488714425907753
Formal credit access,Core threshold,0.6662013339537769,0.161562925014179,0.1232876712328767,0.0918367346938775,0.1875,0.8743866535819431
Formal credit access,Stacked meta-logit,0.646275122426821,0.1545300224789937,0.2087912087912088,0.1938775510204081,0.2261904761904762,0.858684985279686
Formal credit access,Rich XGBoost + recency,0.5778933723326464,0.1398895692849144,0.1866666666666666,0.2142857142857142,0.1653543307086614,0.8204121687929342
Credit application,Core threshold,0.7059269271729335,0.1792245004090513,0.216867469879518,0.3461538461538461,0.1578947368421052,0.8082595870206489
Credit application,Rich logistic + recency,0.7050258048660605,0.1773967780739131,0.224,0.358974358974359,0.1627906976744186,0.8092428711897739
Credit application,Core logistic,0.7049575380246307,0.1768601520643418,0.2375478927203065,0.3974358974358974,0.1693989071038251,0.8043264503441495
Credit application,Rich logistic,0.7049438846563447,0.1767889271085603,0.2366412213740458,0.3974358974358974,0.1684782608695652,0.8033431661750245
Credit application,Stacked meta-logit,0.7003153928074055,0.1820082695794244,0.2385964912280701,0.4358974358974359,0.1642512077294686,0.7866273352999017
Credit application,Rich XGBoost + recency,0.6309562819147484,0.1234220509009365,0.2061068702290076,0.3461538461538461,0.1467391304347826,0.7954768928220256
